image,quantization_aware,error_thresh,bpp,psnr,ssim,encode_s
camera_128,False,30,0.74853515625,40.895485823360914,0.9904332013566233,0.7001619338989258
camera_128,True,30,0.3128662109375,41.50673655545546,0.9940870209330998,0.9992513656616211
camera_128,False,60,0.46826171875,40.7694580912401,0.9894317157759734,0.6894960403442383
camera_128,True,60,0.2327880859375,41.46024118003942,0.9936008685335029,0.9954769611358643
camera_128,False,100,0.38818359375,40.66827451053247,0.9886419174187264,0.6918501853942871
camera_128,True,100,0.18798828125,41.542690295175454,0.9933527044251251,1.005911111831665
camera_128,False,150,0.2880859375,40.58623474175175,0.9885223227949824,0.7062759399414062
camera_128,True,150,0.157958984375,41.51309802699419,0.9929443193678075,1.0009489059448242
camera_128,False,250,0.16796875,40.58090233170754,0.9894132063897106,0.6913630962371826
camera_128,True,250,0.1427001953125,41.472888144178725,0.9926453963730499,1.0032126903533936
camera_128,False,400,0.14794921875,40.571889726611914,0.9894963935456442,0.6973848342895508
camera_128,True,400,0.1326904296875,41.430199980374596,0.992244504193045,1.0092289447784424
camera_128,False,700,0.1279296875,40.287185406349415,0.9891750358762215,0.6994140148162842
camera_128,True,700,0.1226806640625,41.36636915378495,0.9917461595069641,1.0288918018341064
coins_128,False,30,3.69140625,31.43593328063754,0.9347058089162456,0.7284770011901855
coins_128,True,30,4.0865478515625,43.11209803978778,0.9910543165415748,1.0545659065246582
coins_128,False,60,3.020751953125,31.360292111196294,0.9300927663501355,0.7338120937347412
coins_128,True,60,3.5860595703125,42.8981024098546,0.9882792891107418,1.056049108505249
coins_128,False,100,2.5950927734375,31.318459478812677,0.9260387652067749,0.731499195098877
coins_128,True,100,3.2109375,42.26006222410664,0.9830764467923206,1.0532732009887695
coins_128,False,150,2.460205078125,31.100307232383198,0.9230203917105719,0.7307047843933105
coins_128,True,150,2.87060546875,41.80307074262986,0.9773201761607572,1.0572419166564941
coins_128,False,250,2.10986328125,31.09841336369573,0.917474304096014,0.7368021011352539
coins_128,True,250,2.4949951171875,40.94465462114242,0.9685854000741446,1.0587818622589111
coins_128,False,400,1.8243408203125,31.156929084869894,0.9111122720692983,0.7307460308074951
coins_128,True,400,2.22998046875,40.08638137256706,0.9614242670564287,1.0563337802886963
coins_128,False,700,1.659423828125,31.02673216171301,0.902447799449121,0.7382857799530029
coins_128,True,700,1.8743896484375,38.503349245265575,0.948579432816245,1.1059679985046387
astronaut_color_96,False,100,2.9359809027777777,34.62882188902226,0.9422486820154677,0.965785026550293
astronaut_color_96,True,100,2.9828559027777777,38.8540171305516,0.9566043429245958,1.3628849983215332
astronaut_color_96,False,300,2.275607638888889,34.35377061268018,0.9321717926429999,0.9643499851226807
astronaut_color_96,True,300,1.9689670138888888,37.199386828250354,0.9436892078651189,1.362710952758789
